tweet, sentiment_label
b'RT @escapedmatrix: How can you skip over fixing water and go straight to building a wall.\n\nWe watched as thousands donated $20.8M in 3 mont\xe2\x80\xa6', Postive
b'RT @ReverseKarma11: Twenty states file motion to block Trump border wall funding - N.Y. attorney general | Article [AMP] | Reuters https://\xe2\x80\xa6', Postive
b'RT @LoriinUtah: Nancy Pelosi files lawsuit to block Trump border wall\nWhat a sham and shame @SpeakerPelosi is, refusing to do anything wort\xe2\x80\xa6', Negative
b'RT @ByronYork: Border is 1,954 miles long. During 2016 campaign, Trump said wall needed for about half of that. So 450 is about half of tha\xe2\x80\xa6', Negative
b'RT @SandiAnthony1: @KenCalvert @CBP This is all such nonsense. We don\xe2\x80\x99t need a Trump vanity wall. We need more Border Patrol agents and sma\xe2\x80\xa6', Postive
b'RT @kylegriffin1: Inbox: California Gov. Gavin Newsom and A.G. Xavier Becerra, leading a coalition of 20 states, filed a motion for prelimi\xe2\x80\xa6', Negative
b"RT @kylegriffin1: The House of Representatives has formally filed a lawsuit against the Trump admin over Trump's funding of his border wall\xe2\x80\xa6", Negative
b'RT @ddale8: Trump is visiting the replacement border fencing in Calexico, California. There is now a plaque there saying it is "the first s\xe2\x80\xa6', Postive
b"RT @PalmerReport: Donald Trump's day so far\n\n- Heads to the border so he can pretend his imaginary wall is being built\n- House Democrats ar\xe2\x80\xa6", Postive
b"RT @joncoopertweets: BREAKING: 20 states have filed a motion to block Donald Trump's method of funding his border wall by diverting federal\xe2\x80\xa6", Negative
b'RT @AhmedBaba_: This is unAmerican.\n\nTrump can\xe2\x80\x99t violate the law and unilaterally shut down America\xe2\x80\x99s asylum process.\n\nWe know what this is\xe2\x80\xa6', Negative
b"RT @PoliticusSarah: Trump taking selfies at the border after declaring it's a national emergency. Cuz this is exactly what we all do during\xe2\x80\xa6", Postive
b"RT @thehill: Border fencing labeled first section of Trump's wall was approved under Obama: report https://t.co/x5f6rBNA4n https://t.co/fAd\xe2\x80\xa6", Postive
b'BORDER WALL: President Trump Tours New 30-Foot Tall Border Wall https://t.co/CDieR8kW7Q', Postive
b'@realDonaldTrump A section of fencing at the U.S.-Mexico border with a plaque triumphantly labeling it the first pi\xe2\x80\xa6 https://t.co/2dyMlV32FY', Postive
b"RT @kylegriffin1: The House of Representatives has formally filed a lawsuit against the Trump admin over Trump's funding of his border wall\xe2\x80\xa6", Negative
b'RT @jaketapper: \xe2\x80\x9cThe plaque, installed more than six months ago when the work was completed, refers to the 2.25-mile-long barrier as the th\xe2\x80\xa6', Postive
b'RT @kylegriffin1: Nancy Pelosi on the House lawsuit over Trump\'s border wall: "The Congress has a solemn responsibility to defend its exclu\xe2\x80\xa6', Negative
b'Nancy Pelosi files lawsuit to block Trump border wall https://t.co/F9ClptFpyg via @washtimes', Negative
b'RT @thehill: 20 states move to block construction of Trump border wall https://t.co/b2XouGIf13 https://t.co/ra2xO3ywQ9', Negative
b'RT @escapedmatrix: This border wall crisis thing is Trump\xe2\x80\x99s creation. Don\xe2\x80\x99t let these people fool you. The real emergency is in Flint, Mich\xe2\x80\xa6', Postive
b'RT @escapedmatrix: How can you skip over fixing water and go straight to building a wall.\n\nWe watched as thousands donated $20.8M in 3 mont\xe2\x80\xa6', Postive
b'RT @DanPlanteKUSI: President Trump Speaks At Calexico Border Wall.  Speaks About Success Of San Diego Wall. https://t.co/HvTfcYeSNF', Postive
b'RT @JosephSerna: Is Trump able to shut down the border with Mexico? Will building a wall stop the flow of drugs? Is there an actual crisis?\xe2\x80\xa6', Postive
b'RT @washingtonpost: Courts have no say in Trump\xe2\x80\x99s border-wall decree, Justice Department argues https://t.co/3roU2ihGlL', Negative
b"RT @escapedmatrix: I've been campaigning hard to get clean water to Flint. The Trump gofundme did $20M in 25 days for a racist border wall.\xe2\x80\xa6", Postive
b'RT @marklutchman: I\xe2\x80\x99m calling for president Trump to cut all government benefits to people who aren\xe2\x80\x99t American citizens.\n\nThat new border w\xe2\x80\xa6', Postive
b"President Trump tells migrants to 'turn around' during California visit to border https://t.co/gRaUIPzxKT", Negative
b'RT @jkeditdoesPR: @thehill Fact: Not a single new mile of wall has been built during the Trump administration, \xe2\x80\x9cfast\xe2\x80\x9d or otherwise: https:/\xe2\x80\xa6', Postive
b'RT @jaketapper: \xe2\x80\x9cThe plaque, installed more than six months ago when the work was completed, refers to the 2.25-mile-long barrier as the th\xe2\x80\xa6', Postive
b'RT @LoriinUtah: Nancy Pelosi files lawsuit to block Trump border wall\nWhat a sham and shame @SpeakerPelosi is, refusing to do anything wort\xe2\x80\xa6', Negative
b"RT @thehill: Border fencing labeled first section of Trump's wall was approved under Obama: report https://t.co/x5f6rBNA4n https://t.co/fAd\xe2\x80\xa6", Postive
b'RT @funder: BREAKING: 20 states file motion to block Trump border wall funding', Negative
b'RT @escapedmatrix: How can you skip over fixing water and go straight to building a wall.\n\nWe watched as thousands donated $20.8M in 3 mont\xe2\x80\xa6', Postive
b"RT @thehill: Border fencing labeled first section of Trump's wall was approved under Obama: report https://t.co/x5f6rBNA4n https://t.co/fAd\xe2\x80\xa6", Postive
b'RT @LoriinUtah: Nancy Pelosi files lawsuit to block Trump border wall\nWhat a sham and shame @SpeakerPelosi is, refusing to do anything wort\xe2\x80\xa6', Negative
b"RT @timethief: @funder Here's a useful link https://t.co/20lwLOKjdM", Postive
b'https://t.co/tRJysdE7PJ', Negative
b"RT @thehill: Border fencing labeled first section of Trump's wall was approved under Obama: report https://t.co/x5f6rBNA4n https://t.co/fAd\xe2\x80\xa6", Postive
b"RT @thehill: Border fencing labeled first section of Trump's wall was approved under Obama: report https://t.co/x5f6rBNA4n https://t.co/fAd\xe2\x80\xa6", Postive
b'RT @RyanAFournier: This is the plaque marking President Trump\xe2\x80\x99s first Border Wall section in Calexico. It\xe2\x80\x99s beautiful. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/4ywp\xe2\x80\xa6', Postive
